Time;Date;1_Feed_FLOW_CF01_PV;1_Feed_FLOW_CF01_SV;1_Feed_FLOW_CF02_PV;1_Feed_FLOW_CF02_SV;1_Feed_FLOW_CF03_SV;1_Feed_FLOW_CF03_SV;1_Feed_FLOW_CF04_SV;1_Feed_FLOW_CF04_SV;1_Feed_FLOW_CF05_SV;1_Feed_FLOW_CF05_SV;1_Feed_FLOW_CF06_SV;1_Feed_FLOW_CF06_SV
14:27:52;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
14:28:12;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
14:28:32;23/12/2015;-0.35625;0;150;150;0;0;60;60;0;0;50;50
14:28:52;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
14:29:12;23/12/2015;-0.36875;0;150;150;0;0;60;60;0;0;50;50
14:29:32;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
14:29:52;23/12/2015;-0.38125;0;150;150;0;0;60;60;0;0;50;50
14:30:12;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
14:30:32;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
14:30:52;23/12/2015;-0.28125;0;150;150;0;0;60;60;0;0;50;50
14:31:12;23/12/2015;-0.2375;0;150;150;0;0;60;60;0;0;50;50
14:31:32;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
14:31:52;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
14:32:12;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
14:32:32;23/12/2015;-0.35625;0;150;150;0;0;60;60;0;0;50;50
14:32:52;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
14:33:12;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
14:33:32;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
14:33:52;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
14:34:12;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
14:34:32;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
14:34:52;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
14:35:12;23/12/2015;-0.35625;0;150;150;0;0;60;60;0;0;50;50
14:35:32;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
14:35:52;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
14:36:11;23/12/2015;-0.3;0;150;150;0;0;60;60;0;0;50;50
14:36:32;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
14:36:52;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
14:37:12;23/12/2015;-0.35625;0;150;150;0;0;60;60;0;0;50;50
14:37:32;23/12/2015;-0.35;0;150;150;0;0;60;60;0;0;50;50
14:37:52;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
14:38:12;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
14:38:32;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
14:38:52;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
14:39:12;23/12/2015;-0.3625;0;150;150;0;0;60;60;0;0;50;50
14:39:32;23/12/2015;-0.35625;0;150;150;0;0;60;60;0;0;50;50
14:39:52;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
14:40:12;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
14:40:32;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
14:40:52;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
14:41:12;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
14:41:32;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
14:41:52;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
14:42:12;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
14:42:32;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
14:42:52;23/12/2015;-0.3;0;150;150;0;0;60;60;0;0;50;50
14:43:12;23/12/2015;-0.35;0;150;150;0;0;60;60;0;0;50;50
14:43:32;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
14:43:52;23/12/2015;-0.28125;0;150;150;0;0;60;60;0;0;50;50
14:44:12;23/12/2015;-0.26875;0;150;150;0;0;60;60;0;0;50;50
14:44:32;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
14:44:52;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
14:45:12;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
14:45:32;23/12/2015;-0.36875;0;150;150;0;0;60;60;0;0;50;50
14:45:52;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
14:46:12;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
14:46:32;23/12/2015;-0.35;0;150;150;0;0;60;60;0;0;50;50
14:46:52;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
14:47:12;23/12/2015;-0.35;0;150;150;0;0;60;60;0;0;50;50
14:47:32;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
14:47:52;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
14:48:12;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
14:48:32;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
14:48:52;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
14:49:11;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
14:49:31;23/12/2015;-0.3;0;150;150;0;0;60;60;0;0;50;50
14:49:51;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
14:50:11;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
14:50:31;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
14:50:51;23/12/2015;-0.2875;0;150;150;0;0;60;60;0;0;50;50
14:51:11;23/12/2015;-0.28125;0;150;150;0;0;60;60;0;0;50;50
14:51:31;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
14:51:51;23/12/2015;-0.26875;0;150;150;0;0;60;60;0;0;50;50
14:52:11;23/12/2015;-0.28125;0;150;150;0;0;60;60;0;0;50;50
14:52:31;23/12/2015;-0.2875;0;150;150;0;0;60;60;0;0;50;50
14:52:51;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
14:53:11;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
14:53:31;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
14:53:51;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
14:54:11;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
14:54:31;23/12/2015;-0.3;0;150;150;0;0;60;60;0;0;50;50
14:54:51;23/12/2015;-0.3;0;150;150;0;0;60;60;0;0;50;50
14:55:11;23/12/2015;-0.2875;0;150;150;0;0;60;60;0;0;50;50
14:55:31;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
14:55:51;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
14:56:11;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
14:56:31;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
14:56:51;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
14:57:11;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
14:57:31;23/12/2015;-0.35;0;150;150;0;0;60;60;0;0;50;50
