Time;Date;PI-01 Liquid_HC;PI-02 Gas_HC;PI-03 Inert;PI-04 H2O;PI-05 Elicra;PI-06 Nabertherm;PI-07 Outlet Reactor;PI-08 RGA Effluent Inlet
20:38:12;23/12/2015;1.121238E-02;0.6329572;8.318866E-03;0.5034722;9.874132E-03;-3.555556;-0.0249566;-5.099826E-03
20:38:32;23/12/2015;1.157407E-02;0.6327763;7.776331E-03;0.503653;1.009115E-02;-3.555556;-2.473958E-02;-5.099826E-03
20:38:52;23/12/2015;1.193576E-02;0.6329572;8.318866E-03;0.5034722;9.874132E-03;-3.555556;-2.473958E-02;-4.774306E-03
20:39:12;23/12/2015;1.175492E-02;0.6324147;8.318866E-03;0.5034722;9.982639E-03;-3.555556;-0.0250651;-4.774306E-03
20:39:32;23/12/2015;1.121238E-02;0.6325955;8.138021E-03;0.503653;9.874132E-03;-3.555556;-2.484809E-02;-4.991319E-03
20:39:52;23/12/2015;1.175492E-02;0.6327763;7.957175E-03;0.503653;9.765625E-03;-3.555556;-2.484809E-02;-4.991319E-03
20:40:12;23/12/2015;1.103154E-02;0.6324147;8.499711E-03;0.503653;9.874132E-03;-3.555556;-0.0250651;-5.099826E-03
20:40:32;23/12/2015;1.085069E-02;0.6322337;8.499711E-03;0.5029297;9.874132E-03;-3.555556;-2.484809E-02;-4.991319E-03
20:40:52;23/12/2015;1.121238E-02;0.632053;8.318866E-03;0.5029297;9.765625E-03;-3.555556;-2.484809E-02;-4.882813E-03
20:41:12;23/12/2015;1.121238E-02;0.6325955;8.680556E-03;0.5032914;9.874132E-03;-3.555556;-0.0249566;-4.774306E-03
20:41:32;23/12/2015;1.085069E-02;0.6324147;0.0088614;0.5031105;9.765625E-03;-3.555556;-2.473958E-02;-4.991319E-03
20:41:52;23/12/2015;0.010489;0.6327763;8.680556E-03;0.5031105;9.765625E-03;-3.555556;-2.484809E-02;-5.208333E-03
20:42:12;23/12/2015;1.066985E-02;0.6325955;8.680556E-03;0.5032914;9.765625E-03;-3.555556;-2.441406E-02;-4.774306E-03
20:42:32;23/12/2015;0.010489;0.6329572;0.0088614;0.5031105;9.874132E-03;-3.555556;-2.473958E-02;-5.099826E-03
20:42:52;23/12/2015;1.030816E-02;0.6327763;8.499711E-03;0.5031105;9.874132E-03;-3.555556;-2.517361E-02;-4.882813E-03
20:43:12;23/12/2015;1.066985E-02;0.6322337;8.680556E-03;0.5031105;9.874132E-03;-3.555556;-0.0250651;-4.991319E-03
20:43:32;23/12/2015;1.085069E-02;0.632053;8.680556E-03;0.5032914;9.657118E-03;-3.555556;-0.0250651;-4.882813E-03
20:43:52;23/12/2015;1.066985E-02;0.6325955;8.499711E-03;0.5031105;9.765625E-03;-3.555556;-2.484809E-02;-4.991319E-03
20:44:12;23/12/2015;1.066985E-02;0.6322337;8.680556E-03;0.5031105;9.765625E-03;-3.555556;-2.473958E-02;-4.991319E-03
20:44:32;23/12/2015;1.030816E-02;0.6324147;0.0088614;0.5029297;9.874132E-03;-3.555556;-0.0249566;-4.774306E-03
20:44:52;23/12/2015;9.94647E-03;0.6324147;8.499711E-03;0.5029297;9.874132E-03;-3.555556;-2.452257E-02;-4.991319E-03
20:45:12;23/12/2015;1.012731E-02;0.6327763;8.499711E-03;0.5032914;9.982639E-03;-3.555556;-2.484809E-02;-4.991319E-03
20:45:32;23/12/2015;1.030816E-02;0.6324147;8.499711E-03;0.5034722;9.765625E-03;-3.555556;-0.0250651;-4.774306E-03
20:45:52;23/12/2015;9.94647E-03;0.6324147;8.318866E-03;0.5032914;9.982639E-03;-3.555556;-2.452257E-02;-4.991319E-03
20:46:12;23/12/2015;1.012731E-02;0.6325955;8.499711E-03;0.5032914;9.657118E-03;-3.555556;-2.484809E-02;-4.991319E-03
20:46:32;23/12/2015;9.94647E-03;0.6329572;7.957175E-03;0.5032914;9.765625E-03;-3.555556;-2.484809E-02;-4.991319E-03
20:46:52;23/12/2015;9.58478E-03;0.6324147;8.680556E-03;0.5034722;9.874132E-03;-3.555556;-0.0249566;-5.099826E-03
20:47:12;23/12/2015;1.030816E-02;0.632053;8.318866E-03;0.5034722;9.982639E-03;-3.555556;-2.473958E-02;-5.31684E-03
20:47:32;23/12/2015;0.010489;0.6327763;8.680556E-03;0.5032914;9.765625E-03;-3.555556;-2.484809E-02;-5.31684E-03
20:47:52;23/12/2015;9.765625E-03;0.6325955;0.0088614;0.5034722;9.657118E-03;-3.555556;-0.0250651;-5.099826E-03
20:48:12;23/12/2015;9.58478E-03;0.6327763;0.0088614;0.503653;9.982639E-03;-3.555556;-2.473958E-02;-5.099826E-03
20:48:32;23/12/2015;9.765625E-03;0.6324147;0.0088614;0.5032914;1.009115E-02;-3.555556;-2.473958E-02;-5.208333E-03
20:48:52;23/12/2015;9.94647E-03;0.6324147;8.680556E-03;0.5031105;9.874132E-03;-3.555556;-2.463108E-02;-5.099826E-03
20:49:12;23/12/2015;9.58478E-03;0.6324147;8.499711E-03;0.5031105;9.874132E-03;-3.555556;-2.484809E-02;-4.991319E-03
20:49:32;23/12/2015;9.58478E-03;0.6327763;0.0088614;0.5029297;9.874132E-03;-3.555556;-0.0249566;-4.882813E-03
20:49:52;23/12/2015;9.765625E-03;0.6324147;9.042245E-03;0.5034722;9.982639E-03;-3.555556;-2.484809E-02;-5.208333E-03
20:50:12;23/12/2015;1.030816E-02;0.632053;8.499711E-03;0.5034722;1.019965E-02;-3.555556;-0.0250651;-4.882813E-03
20:50:32;23/12/2015;1.012731E-02;0.6325955;0.0088614;0.5031105;9.982639E-03;-3.555556;-0.0250651;-5.099826E-03
20:50:52;23/12/2015;1.030816E-02;0.632053;0.0088614;0.5029297;9.765625E-03;-3.555556;-0.0250651;-4.774306E-03
20:51:12;23/12/2015;1.012731E-02;0.6318721;9.22309E-03;0.5032914;9.982639E-03;-3.555556;-2.517361E-02;-5.099826E-03
20:51:32;23/12/2015;9.765625E-03;0.6324147;9.403936E-03;0.5031105;9.765625E-03;-3.555556;-2.517361E-02;-5.208333E-03
20:51:52;23/12/2015;1.066985E-02;0.6324147;9.042245E-03;0.5032914;9.874132E-03;-3.555556;-2.539063E-02;-5.208333E-03
20:52:12;23/12/2015;1.030816E-02;0.6322337;9.403936E-03;0.5032914;9.874132E-03;-3.555556;-2.549913E-02;-4.991319E-03
